,RMSE,MAE,MAPE,E_rmse,E_mae,E_me,r,C_R,Q_R
FusionModel_nwp,0.8359197032158747,0.5568703178868911,47.396086490558524,0.12665450048725377,0.08437429058892289,-0.00029743002413404785,0.7564838972536511,87.33454995127462,93.51308280896639
FusionModel_lmd,0.6576293712639403,0.4733305524009093,43.43131072556326,0.09964081382786974,0.07171675036377415,0.007253915366210345,0.8597126271795552,90.03591861721303,97.1115876307988
FusionModel_mixed,0.6885066660204443,0.47100551925143325,38.95969702492692,0.10431919182127944,0.07136447261385352,0.01174728108505879,0.8406856504506265,89.56808081787206,95.76053713924139
