model_input,RMSE,MAE,MAPE,E_rmse,E_mae,E_me,r,C_R,Q_R
FusionModel_nwp,0.5800086962230628,0.3961014931274641,31.70374406957589,0.08788010548834285,0.060015377746585476,-0.023025631227367435,0.8912376833308854,91.2119894511657,96.94041867954911
FusionModel_lmd,0.38538345250376826,0.2649575180536055,20.080602688752926,0.05839143219754066,0.04014507849297053,-0.022780296742967557,0.957741159721414,94.16085678024594,99.6779388083736
FusionModel_mixed,0.3068691602927863,0.2134703293543207,18.099765384424398,0.04649532731708884,0.032343989296109196,-0.005911635457977666,0.9691924969269701,95.35046726829111,99.8389694041868
