Model,PredictionColumn,Samples,RMSE_MW,MAE_MW,ME_MW,Mean_Relative_Error,Median_Relative_Error,MAPE,NRMSE_Capacity,Correlation
Measured-irradiance theoretical power,P_theo,33503,7.076943222322843,4.002162159464707,-0.9929772814483833,-0.011620560769643322,-0.001432838350280129,0.20356240553574578,0.0643358474756622,0.9645415302582869
Legacy atmospheric-transmission variant,P_theo_atmospheric,31256,17.988943450567135,13.987434919035003,-13.67829324786013,-0.9598069845969713,-0.7472925123418214,0.4469499914196386,0.16353584955061032,0.9581782334895425
