Month,Actual_Mean_MW,Theoretical_Mean_MW,Atmospheric_Mean_MW,Actual_Energy_MWh,Theoretical_Energy_MWh,Utilization,Atmospheric_Utilization
1,7.608553427419355,7.86233518850845,4.642137430874941,11321.5275,11699.15476050057,0.9677218339075621,1.6390194260115452
2,8.77638706140351,8.69866000196295,5.332967012604374,12006.0975,11899.766882685317,1.0089355210369206,1.6456856081540863
3,14.716039986559139,13.341048481925462,8.405030856537934,21897.4675,19851.480141105087,1.1030647258719226,1.7508609114875677
4,17.729545138888888,17.602990451789516,11.089320636201517,25530.545000000002,25348.306250576905,1.0071893856584184,1.5987945267819292
5,18.458543346774192,17.363799835207605,10.77451147303607,27466.3125,25837.334154788918,1.0630474620737587,1.7131675429524507
6,16.56884375,15.410501540335629,9.201797431901051,23859.135,22191.122218083307,1.075165769694939,1.8006094866377589
7,17.06471606182796,16.146929473526466,9.436695630008222,25392.2975,24026.63105660738,1.0568396975911885,1.8083359611136562
8,21.159334677419356,20.82855609882988,12.010551091275563,31485.089999999997,30992.89147505886,1.0158810134039038,1.7617288762702528
9,17.002380208333335,16.084514914174513,9.565807663148927,24483.427499999998,23161.701476411297,1.0570651523565657,1.777411882724014
10,13.433192204301076,12.1872657740096,7.181645046944351,19988.59,18134.651471726283,1.1022318256937107,1.8704895767602208
11,11.890071180555555,12.163423279063851,7.076275347793862,17121.7025,17515.32952185195,0.9775267133078563,1.6802725439821202
12,10.309235551075268,11.279333857423183,6.624843319868248,15340.1425,16783.6487798457,0.9139932979544292,1.5561478292108943
